Day,Players,LFMs
Sunday,491.29,18.31
Monday,401.84,15.51
Tuesday,381.97,15.21
Wednesday,367.73,14.41
Thursday,364.40,14.31
Friday,415.17,16.10
Saturday,487.46,17.65
