Class,Percent
Alchemist,0.01211
Artificer,0.0804
Barbarian,0.05066
Bard,0.04405
Cleric,0.087
Druid,0.03084
Favored Soul,0.03194
Fighter,0.09031
Monk,0.02863
Paladin,0.09031
Ranger,0.12225
Rogue,0.13106
Sorcerer,0.04626
Warlock,0.05507
Wizard,0.09912
