Hour,Players,LFMs
0,49.02,1.46
1,41.96,1.36
2,36.13,1.37
3,33.56,1.28
4,31.49,1.49
5,32.64,1.64
6,34.25,1.53
7,38.18,1.82
8,41.49,1.79
9,47.19,2.16
10,55.15,2.42
11,61.22,2.64
12,64.53,3.04
13,74.14,3.40
14,85.51,3.52
15,93.96,3.72
16,94.60,3.60
17,88.00,2.98
18,82.32,2.69
19,78.32,2.75
20,75.04,2.52
21,72.98,2.36
22,66.61,2.00
23,58.67,1.70
