Day,Players,LFMs
Sunday,70.74,2.58
Monday,56.91,2.40
Tuesday,54.12,2.26
Wednesday,50.89,2.39
Thursday,51.87,2.15
Friday,61.34,1.86
Saturday,70.34,2.45
