Day,Players,LFMs
Sunday,13.57,0.49
Monday,7.72,0.52
Tuesday,7.97,0.56
Wednesday,7.28,0.75
Thursday,6.22,0.38
Friday,8.52,0.37
Saturday,8.92,0.36
