Hour,Players,LFMs
0,6.73,0.38
1,5.76,0.34
2,4.75,0.36
3,4.43,0.38
4,3.97,0.39
5,4.19,0.36
6,4.53,0.39
7,4.82,0.40
8,5.13,0.40
9,5.69,0.45
10,6.93,0.52
11,7.87,0.54
12,8.99,0.61
13,10.58,0.60
14,12.86,0.59
15,14.56,0.69
16,13.81,0.57
17,13.56,0.59
18,12.86,0.60
19,12.24,0.58
20,11.70,0.45
21,11.53,0.55
22,10.90,0.45
23,9.26,0.43
