Hour,Players,LFMs
0,48.72,1.06
1,41.41,0.49
2,32.38,0.17
3,31.00,0.46
4,31.50,0.69
5,33.50,0.46
6,36.75,0.94
7,36.55,1.09
8,39.96,0.81
9,42.21,0.66
10,42.14,0.87
11,52.96,1.07
12,64.84,0.99
13,72.19,1.57
14,74.33,2.00
15,74.81,1.97
16,80.33,1.82
17,78.74,1.49
18,70.74,1.36
19,64.42,0.76
20,64.89,1.01
21,62.70,0.94
22,57.54,1.21
23,53.94,1.30
