Day,Players,LFMs
Sunday,61.66,1.44
Monday,49.87,1.12
Tuesday,51.20,0.94
Wednesday,41.80,0.92
Thursday,50.23,1.05
Friday,51.10,0.84
Saturday,71.89,1.23
