Level,Percent
1,0.12677
2,0.04016
3,0.04252
4,0.0622
5,0.04882
6,0.02913
7,0.08976
8,0.03701
9,0.02913
10,0.03622
11,0.0189
12,0.02126
13,0.0126
14,0.01102
15,0.07638
16,0.01811
17,0.01339
18,0.00787
19,0.01024
20,0.06457
21,0.0063
22,0.01417
23,0.00866
24,0.00472
25,0.02362
26,0.04488
27,0.01732
28,0.02205
29,0.00787
30,0.05433
