Day,Players,LFMs
Sunday,67.27,1.53
Monday,51.21,1.25
Tuesday,48.98,1.07
Wednesday,44.70,1.01
Thursday,47.56,1.15
Friday,54.93,1.02
Saturday,65.96,1.31
