Class,Percent
Alchemist,0.01561
Artificer,0.08678
Barbarian,0.06107
Bard,0.04408
Cleric,0.08678
Druid,0.03535
Favored Soul,0.02525
Fighter,0.08999
Monk,0.02847
Paladin,0.08632
Ranger,0.10606
Rogue,0.12351
Sorcerer,0.0528
Warlock,0.05556
Wizard,0.10239
