Class,Percent
Alchemist,0.01811
Artificer,0.09134
Barbarian,0.0685
Bard,0.04409
Cleric,0.08661
Druid,0.03858
Favored Soul,0.02047
Fighter,0.08976
Monk,0.02835
Paladin,0.08346
Ranger,0.09449
Rogue,0.11811
Sorcerer,0.05748
Warlock,0.05591
Wizard,0.10472
