Hour,Players,LFMs
0,52.69,1.09
1,44.89,0.96
2,39.01,0.88
3,36.48,0.77
4,35.27,0.83
5,35.14,0.85
6,35.98,0.87
7,38.32,0.94
8,40.95,1.04
9,45.53,1.23
10,53.54,1.43
11,60.76,1.60
12,67.98,1.90
13,77.63,2.18
14,86.12,2.34
15,90.42,2.48
16,90.45,2.38
17,84.86,2.04
18,80.19,1.84
19,78.60,1.80
20,77.84,1.77
21,76.03,1.68
22,70.10,1.58
23,61.26,1.36
