Day,Players,LFMs
Sunday,75.64,1.82
Monday,58.53,1.54
Tuesday,55.91,1.42
Wednesday,49.98,1.34
Thursday,51.30,1.27
Friday,60.71,1.34
Saturday,73.25,1.71
