Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
20-2-2020T00:00,153.72,193.51,169.07,152.93,238.40,191.84,157.44
21-2-2020T00:00,168.81,210.70,183.55,171.16,253.69,215.92,173.84
22-2-2020T00:00,220.90,282.61,237.82,219.48,316.86,257.42,231.19
23-2-2020T00:00,237.67,288.11,255.96,236.87,323.95,253.53,249.11
24-2-2020T00:00,158.93,209.32,183.72,170.74,258.77,198.40,171.37
25-2-2020T00:00,151.99,197.36,172.19,172.48,240.02,190.18,161.46
26-2-2020T00:00,158.14,182.96,170.92,164.63,235.93,184.69,151.91
27-2-2020T00:00,159.40,196.48,177.11,170.51,234.52,197.40,158.17
28-2-2020T00:00,165.40,212.22,193.87,176.97,251.40,205.55,181.44
29-2-2020T00:00,228.51,266.64,254.82,233.03,338.15,264.04,242.79
1-3-2020T00:00,242.47,286.04,262.28,251.33,344.17,277.78,242.93
2-3-2020T00:00,169.93,203.27,175.12,183.47,237.08,197.05,175.23
3-3-2020T00:00,152.84,202.61,176.69,169.26,232.12,189.57,158.85
4-3-2020T00:00,149.33,187.87,163.26,165.74,221.89,178.22,147.26
5-3-2020T00:00,162.18,199.76,168.56,170.45,229.99,190.22,155.71
6-3-2020T00:00,179.17,215.01,183.62,183.58,242.72,205.97,171.28
7-3-2020T00:00,217.16,253.42,228.95,232.47,296.97,237.83,216.96
8-3-2020T00:00,239.88,270.64,238.55,248.95,323.45,263.71,229.33
9-3-2020T00:00,178.34,202.85,167.21,168.18,240.14,194.31,165.26
10-3-2020T00:00,160.33,194.04,167.37,165.48,248.10,191.67,159.35
11-3-2020T00:00,149.39,182.46,153.14,157.12,224.94,174.59,142.66
12-3-2020T00:00,154.91,196.59,162.85,164.99,236.00,189.69,162.62
13-3-2020T00:00,173.92,222.31,182.08,187.53,262.46,208.56,173.96
14-3-2020T00:00,231.59,267.37,251.39,250.12,345.94,278.96,238.87
15-3-2020T00:00,250.83,301.58,250.93,267.16,377.68,277.31,242.94
16-3-2020T00:00,181.94,229.10,190.90,199.42,300.81,208.04,185.44
17-3-2020T00:00,189.46,230.07,189.43,203.25,306.67,219.96,187.73
18-3-2020T00:00,192.88,243.76,196.02,197.41,309.07,216.72,182.53
19-3-2020T00:00,224.37,276.93,219.90,236.91,330.30,238.84,210.92
20-3-2020T00:00,263.77,324.28,273.88,284.75,409.98,285.27,259.51
21-3-2020T00:00,344.56,409.27,345.30,344.44,522.15,356.62,356.23
22-3-2020T00:00,348.38,425.02,347.98,357.62,572.68,373.48,339.52
