Time,Ghallanda
16-6-2020T0:00,225.58
16-6-2020T1:00,178.67
16-6-2020T2:00,168.17
16-6-2020T3:00,162.25
16-6-2020T4:00,159.67
16-6-2020T5:00,165.17
16-6-2020T6:00,171.58
16-6-2020T7:00,199.25
16-6-2020T8:00,231.58
16-6-2020T9:00,252.33
16-6-2020T10:00,273.25
16-6-2020T11:00,305.67
16-6-2020T12:00,331.67
16-6-2020T13:00,362.92
16-6-2020T14:00,400.25
16-6-2020T15:00,421.58
16-6-2020T16:00,390.58
16-6-2020T17:00,355.00
16-6-2020T18:00,348.25
16-6-2020T19:00,393.50
16-6-2020T20:00,390.33
16-6-2020T21:00,372.42
16-6-2020T22:00,333.83
16-6-2020T23:00,283.33
17-6-2020T0:00,233.75
17-6-2020T1:00,175.17
17-6-2020T2:00,150.33
17-6-2020T3:00,136.00
17-6-2020T4:00,143.25
17-6-2020T5:00,152.58
17-6-2020T6:00,159.58
17-6-2020T7:00,162.50
17-6-2020T8:00,4.67
17-6-2020T9:00,0.00
17-6-2020T10:00,207.50
17-6-2020T11:00,278.08
17-6-2020T12:00,319.10
17-6-2020T13:00,353.08
17-6-2020T14:00,374.92
17-6-2020T15:00,390.50
17-6-2020T16:00,380.33
17-6-2020T17:00,315.08
17-6-2020T18:00,309.75
17-6-2020T19:00,366.33
17-6-2020T20:00,407.58
17-6-2020T21:00,385.83
17-6-2020T22:00,298.58
17-6-2020T23:00,252.42
18-6-2020T0:00,211.83
18-6-2020T1:00,178.92
18-6-2020T2:00,149.50
18-6-2020T3:00,148.17
18-6-2020T4:00,168.75
18-6-2020T5:00,182.08
18-6-2020T6:00,196.42
18-6-2020T7:00,215.58
18-6-2020T8:00,227.17
18-6-2020T9:00,242.33
18-6-2020T10:00,253.17
18-6-2020T11:00,275.75
18-6-2020T12:00,293.00
18-6-2020T13:00,355.83
18-6-2020T14:00,406.08
18-6-2020T15:00,394.33
18-6-2020T16:00,388.33
18-6-2020T17:00,342.08
18-6-2020T18:00,324.75
18-6-2020T19:00,373.50
18-6-2020T20:00,379.33
18-6-2020T21:00,361.00
18-6-2020T22:00,309.75
18-6-2020T23:00,257.92
19-6-2020T0:00,214.75
19-6-2020T1:00,175.92
19-6-2020T2:00,157.17
19-6-2020T3:00,155.25
19-6-2020T4:00,156.33
19-6-2020T5:00,160.50
19-6-2020T6:00,178.92
19-6-2020T7:00,202.00
19-6-2020T8:00,243.00
19-6-2020T9:00,264.08
19-6-2020T10:00,292.50
19-6-2020T11:00,311.25
19-6-2020T12:00,319.67
19-6-2020T13:00,345.67
19-6-2020T14:00,351.25
19-6-2020T15:00,406.33
19-6-2020T16:00,425.25
19-6-2020T17:00,377.08
19-6-2020T18:00,378.42
19-6-2020T19:00,384.67
19-6-2020T20:00,425.17
19-6-2020T21:00,433.00
19-6-2020T22:00,398.27
19-6-2020T23:00,345.25
