Time,Cannith
23-6-2020T0:0,243
23-6-2020T0:5,235
23-6-2020T0:10,221
23-6-2020T0:15,222
23-6-2020T0:20,217
23-6-2020T0:25,216
23-6-2020T0:30,219
23-6-2020T0:35,213
23-6-2020T0:40,205
23-6-2020T0:45,200
23-6-2020T0:50,199
23-6-2020T0:55,192
23-6-2020T1:0,189
23-6-2020T1:5,179
23-6-2020T1:10,177
23-6-2020T1:15,175
23-6-2020T1:20,180
23-6-2020T1:25,169
23-6-2020T1:30,167
23-6-2020T1:35,166
23-6-2020T1:40,165
23-6-2020T1:45,163
23-6-2020T1:50,162
23-6-2020T1:55,156
23-6-2020T2:0,150
23-6-2020T2:5,149
23-6-2020T2:10,153
23-6-2020T2:15,154
23-6-2020T2:20,153
23-6-2020T2:25,150
23-6-2020T2:30,149
23-6-2020T2:35,142
23-6-2020T2:40,143
23-6-2020T2:45,138
23-6-2020T2:50,141
23-6-2020T2:55,140
23-6-2020T3:0,143
23-6-2020T3:5,140
23-6-2020T3:10,145
23-6-2020T3:15,147
23-6-2020T3:20,146
23-6-2020T3:25,146
23-6-2020T3:30,145
23-6-2020T3:35,147
23-6-2020T3:40,151
23-6-2020T3:45,143
23-6-2020T3:50,139
23-6-2020T3:55,140
23-6-2020T4:0,141
23-6-2020T4:5,147
23-6-2020T4:10,150
23-6-2020T4:15,157
23-6-2020T4:20,165
23-6-2020T4:25,169
23-6-2020T4:30,173
23-6-2020T4:35,170
23-6-2020T4:40,167
23-6-2020T4:45,165
23-6-2020T4:50,163
23-6-2020T4:55,166
23-6-2020T5:0,166
23-6-2020T5:5,167
23-6-2020T5:10,167
23-6-2020T5:15,167
23-6-2020T5:20,167
23-6-2020T5:25,167
23-6-2020T5:30,173
23-6-2020T5:35,175
23-6-2020T5:40,177
23-6-2020T5:45,179
23-6-2020T5:50,179
23-6-2020T5:55,170
23-6-2020T6:0,165
23-6-2020T6:5,159
23-6-2020T6:10,146
23-6-2020T6:15,143
23-6-2020T6:20,133
23-6-2020T6:25,129
23-6-2020T6:30,137
23-6-2020T6:35,131
23-6-2020T6:40,127
23-6-2020T6:45,118
23-6-2020T6:50,110
23-6-2020T6:55,86
23-6-2020T7:0,43
23-6-2020T7:5,0
23-6-2020T7:10,0
23-6-2020T7:15,0
23-6-2020T7:20,0
23-6-2020T7:25,0
23-6-2020T7:30,0
23-6-2020T7:35,0
23-6-2020T7:40,0
23-6-2020T7:45,0
23-6-2020T7:50,0
23-6-2020T7:55,0
23-6-2020T8:0,0
23-6-2020T8:5,0
23-6-2020T8:10,0
23-6-2020T8:15,0
23-6-2020T8:20,0
23-6-2020T8:25,0
23-6-2020T8:30,0
23-6-2020T8:35,0
23-6-2020T8:40,0
23-6-2020T8:45,0
23-6-2020T8:50,0
23-6-2020T8:55,0
23-6-2020T9:0,0
23-6-2020T9:5,0
