Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,332.14,385.84,359.63,379.54,363.98,351.17,577.26
Monday,262.46,309.96,280.64,299.01,287.39,280.74,453.06
Tuesday,224.67,269.58,251.39,260.09,253.42,245.24,401.19
Wednesday,240.79,288.01,259.90,276.97,270.10,251.74,427.53
Thursday,256.07,318.14,280.14,293.02,282.48,272.78,463.49
Friday,267.23,313.18,289.97,306.11,292.17,280.86,466.83
Saturday,329.28,378.65,347.19,382.29,363.75,343.74,577.83
