Hour,Orien
0,578.42
1,471.25
2,399.17
3,346.42
4,369.25
5,383.25
6,403.75
7,476.50
8,578.75
9,623.50
10,694.67
11,770.25
12,837.25
13,961.42
14,1000.83
15,930.08
16,906.67
17,867.25
18,849.92
19,863.25
20,839.75
21,784.92
22,703.75
23,614.75
