Time,Thelanis
1-6-2020T00:00,420.41
2-6-2020T00:00,409.72
3-6-2020T00:00,396.80
4-6-2020T00:00,452.60
5-6-2020T00:00,473.83
6-6-2020T00:00,583.59
7-6-2020T00:00,591.31
8-6-2020T00:00,476.43
9-6-2020T00:00,461.34
10-6-2020T00:00,485.45
11-6-2020T00:00,485.79
12-6-2020T00:00,472.89
13-6-2020T00:00,591.74
14-6-2020T00:00,580.30
15-6-2020T00:00,452.93
16-6-2020T00:00,460.83
