Time,Argonnessen
1-6-2020T00:00,256.59
2-6-2020T00:00,236.97
3-6-2020T00:00,244.63
4-6-2020T00:00,260.54
5-6-2020T00:00,277.72
6-6-2020T00:00,340.00
7-6-2020T00:00,340.55
8-6-2020T00:00,270.31
9-6-2020T00:00,247.09
10-6-2020T00:00,253.05
11-6-2020T00:00,252.20
12-6-2020T00:00,263.83
13-6-2020T00:00,319.45
14-6-2020T00:00,331.94
15-6-2020T00:00,264.76
16-6-2020T00:00,262.71
17-6-2020T00:00,252.91
18-6-2020T00:00,255.08
19-6-2020T00:00,268.91
20-6-2020T00:00,328.41
21-6-2020T00:00,324.39
