Time,Orien
1-4-2020T00:00,480.17
2-4-2020T00:00,487.37
3-4-2020T00:00,530.36
4-4-2020T00:00,632.46
5-4-2020T00:00,677.29
6-4-2020T00:00,572.89
7-4-2020T00:00,569.52
8-4-2020T00:00,587.97
9-4-2020T00:00,495.64
10-4-2020T00:00,547.68
11-4-2020T00:00,571.25
12-4-2020T00:00,591.52
13-4-2020T00:00,506.96
14-4-2020T00:00,469.16
15-4-2020T00:00,406.98
16-4-2020T00:00,433.22
17-4-2020T00:00,453.83
18-4-2020T00:00,542.84
19-4-2020T00:00,528.28
20-4-2020T00:00,430.91
21-4-2020T00:00,421.68
22-4-2020T00:00,418.18
23-4-2020T00:00,397.49
24-4-2020T00:00,407.44
25-4-2020T00:00,516.26
26-4-2020T00:00,522.82
27-4-2020T00:00,397.78
28-4-2020T00:00,389.81
29-4-2020T00:00,376.97
30-4-2020T00:00,394.43
1-5-2020T00:00,418.28
2-5-2020T00:00,473.50
3-5-2020T00:00,463.86
4-5-2020T00:00,360.24
5-5-2020T00:00,344.46
6-5-2020T00:00,338.49
7-5-2020T00:00,352.91
8-5-2020T00:00,373.96
9-5-2020T00:00,456.38
10-5-2020T00:00,428.40
11-5-2020T00:00,349.22
12-5-2020T00:00,343.71
13-5-2020T00:00,326.04
14-5-2020T00:00,318.05
15-5-2020T00:00,349.83
16-5-2020T00:00,417.52
17-5-2020T00:00,422.38
18-5-2020T00:00,331.68
19-5-2020T00:00,315.44
20-5-2020T00:00,287.09
21-5-2020T00:00,311.90
22-5-2020T00:00,340.40
23-5-2020T00:00,398.45
24-5-2020T00:00,410.59
25-5-2020T00:00,372.85
26-5-2020T00:00,310.53
27-5-2020T00:00,294.05
28-5-2020T00:00,306.79
29-5-2020T00:00,308.64
30-5-2020T00:00,374.31
31-5-2020T00:00,375.75
1-6-2020T00:00,293.27
