Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,334.59,386.37,361.95,381.34,366.89,353.88,566.76
Monday,262.46,309.96,280.64,299.01,287.39,280.74,453.06
Tuesday,239.10,283.92,258.52,271.68,263.01,254.72,421.66
Wednesday,239.36,282.75,253.02,268.87,260.28,247.52,425.32
Thursday,244.12,300.05,262.12,277.23,266.03,259.45,446.24
Friday,254.39,304.58,275.84,288.54,279.91,269.26,441.59
Saturday,327.77,376.68,342.47,384.93,366.39,344.46,560.67
