Time,Orien
29-6-2020T0:0,229
29-6-2020T0:5,227
29-6-2020T0:10,225
29-6-2020T0:15,220
29-6-2020T0:20,207
29-6-2020T0:25,209
29-6-2020T0:30,199
29-6-2020T0:35,190
29-6-2020T0:40,194
29-6-2020T0:45,189
29-6-2020T0:50,186
29-6-2020T0:55,172
29-6-2020T1:0,169
29-6-2020T1:5,166
29-6-2020T1:10,165
29-6-2020T1:15,170
29-6-2020T1:20,161
29-6-2020T1:25,158
29-6-2020T1:30,151
29-6-2020T1:35,150
29-6-2020T1:40,151
29-6-2020T1:45,153
29-6-2020T1:50,151
29-6-2020T1:55,141
29-6-2020T2:0,139
29-6-2020T2:5,139
29-6-2020T2:10,137
29-6-2020T2:15,135
29-6-2020T2:20,131
29-6-2020T2:25,127
29-6-2020T2:30,125
29-6-2020T2:35,122
29-6-2020T2:40,126
29-6-2020T2:45,117
29-6-2020T2:50,118
29-6-2020T2:55,118
29-6-2020T3:0,117
29-6-2020T3:5,115
29-6-2020T3:10,109
29-6-2020T3:15,106
29-6-2020T3:20,111
29-6-2020T3:25,114
29-6-2020T3:30,108
29-6-2020T3:35,105
29-6-2020T3:40,107
29-6-2020T3:45,104
29-6-2020T3:50,105
29-6-2020T3:55,104
29-6-2020T4:0,99
29-6-2020T4:5,98
29-6-2020T4:10,95
29-6-2020T4:15,92
29-6-2020T4:20,91
29-6-2020T4:25,96
29-6-2020T4:30,98
29-6-2020T4:35,96
29-6-2020T4:40,97
29-6-2020T4:45,91
29-6-2020T4:50,96
29-6-2020T4:55,99
29-6-2020T5:0,99
29-6-2020T5:5,108
29-6-2020T5:10,113
29-6-2020T5:15,114
29-6-2020T5:20,119
29-6-2020T5:25,118
29-6-2020T5:30,114
29-6-2020T5:35,113
29-6-2020T5:40,119
29-6-2020T5:45,125
29-6-2020T5:50,128
29-6-2020T5:55,126
29-6-2020T6:0,124
29-6-2020T6:5,128
29-6-2020T6:10,126
29-6-2020T6:15,128
29-6-2020T6:20,124
29-6-2020T6:25,126
29-6-2020T6:30,127
29-6-2020T6:35,123
29-6-2020T6:40,125
29-6-2020T6:45,131
29-6-2020T6:50,133
29-6-2020T6:55,138
29-6-2020T7:0,132
29-6-2020T7:5,132
29-6-2020T7:10,135
29-6-2020T7:15,134
29-6-2020T7:20,130
29-6-2020T7:25,132
29-6-2020T7:30,127
29-6-2020T7:35,131
29-6-2020T7:40,135
29-6-2020T7:45,134
29-6-2020T7:50,133
29-6-2020T7:55,141
29-6-2020T8:0,139
29-6-2020T8:5,137
29-6-2020T8:10,140
29-6-2020T8:15,147
29-6-2020T8:20,148
29-6-2020T8:25,153
29-6-2020T8:30,157
29-6-2020T8:35,159
29-6-2020T8:40,162
29-6-2020T8:45,161
29-6-2020T8:50,165
29-6-2020T8:55,167
29-6-2020T9:0,161
29-6-2020T9:5,159
29-6-2020T9:10,161
29-6-2020T9:15,163
29-6-2020T9:20,169
29-6-2020T9:25,171
29-6-2020T9:30,175
29-6-2020T9:35,181
29-6-2020T9:40,184
29-6-2020T9:45,188
29-6-2020T9:50,200
29-6-2020T9:55,195
29-6-2020T10:0,197
29-6-2020T10:5,197
29-6-2020T10:10,195
29-6-2020T10:15,199
29-6-2020T10:20,208
29-6-2020T10:25,212
29-6-2020T10:30,220
29-6-2020T10:35,215
29-6-2020T10:40,210
29-6-2020T10:45,218
29-6-2020T10:50,225
29-6-2020T10:55,226
29-6-2020T11:0,228
29-6-2020T11:5,221
29-6-2020T11:10,232
29-6-2020T11:15,234
29-6-2020T11:20,236
29-6-2020T11:25,242
29-6-2020T11:30,232
29-6-2020T11:35,224
29-6-2020T11:40,229
29-6-2020T11:45,238
29-6-2020T11:50,237
29-6-2020T11:55,231
29-6-2020T12:0,238
29-6-2020T12:5,237
29-6-2020T12:10,243
29-6-2020T12:15,251
29-6-2020T12:20,248
29-6-2020T12:25,254
29-6-2020T12:30,248
29-6-2020T12:35,255
29-6-2020T12:40,258
29-6-2020T12:45,261
29-6-2020T12:50,261
29-6-2020T12:55,263
29-6-2020T13:0,267
29-6-2020T13:5,262
29-6-2020T13:10,267
29-6-2020T13:15,276
29-6-2020T13:20,281
29-6-2020T13:25,283
29-6-2020T13:30,280
29-6-2020T13:35,287
29-6-2020T13:40,283
29-6-2020T13:45,280
29-6-2020T13:50,277
29-6-2020T13:55,287
29-6-2020T14:0,289
29-6-2020T14:5,289
29-6-2020T14:10,286
29-6-2020T14:15,288
29-6-2020T14:20,301
29-6-2020T14:25,300
29-6-2020T14:30,306
29-6-2020T14:35,303
29-6-2020T14:40,309
29-6-2020T14:45,302
29-6-2020T14:50,304
29-6-2020T14:55,300
29-6-2020T15:0,305
29-6-2020T15:5,308
29-6-2020T15:10,306
29-6-2020T15:15,296
29-6-2020T15:20,296
29-6-2020T15:25,298
29-6-2020T15:30,303
29-6-2020T15:35,297
29-6-2020T15:40,295
29-6-2020T15:45,287
29-6-2020T15:50,289
29-6-2020T15:55,288
29-6-2020T16:0,286
29-6-2020T16:5,283
29-6-2020T16:10,278
29-6-2020T16:15,277
29-6-2020T16:20,287
29-6-2020T16:25,284
29-6-2020T16:30,288
29-6-2020T16:35,285
29-6-2020T16:40,274
29-6-2020T16:45,284
29-6-2020T16:50,288
29-6-2020T16:55,282
29-6-2020T17:0,287
29-6-2020T17:5,297
29-6-2020T17:10,286
29-6-2020T17:15,285
29-6-2020T17:20,292
29-6-2020T17:25,307
29-6-2020T17:30,308
29-6-2020T17:35,319
29-6-2020T17:40,320
29-6-2020T17:45,328
29-6-2020T17:50,324
29-6-2020T17:55,328
29-6-2020T18:0,327
29-6-2020T18:5,327
29-6-2020T18:10,324
29-6-2020T18:15,329
29-6-2020T18:20,326
29-6-2020T18:25,327
29-6-2020T18:30,330
29-6-2020T18:35,332
29-6-2020T18:40,342
29-6-2020T18:45,345
29-6-2020T18:50,350
29-6-2020T18:55,357
29-6-2020T19:0,359
29-6-2020T19:5,369
29-6-2020T19:10,374
29-6-2020T19:15,367
29-6-2020T19:20,373
29-6-2020T19:25,380
29-6-2020T19:30,379
29-6-2020T19:35,366
29-6-2020T19:40,371
29-6-2020T19:45,373
29-6-2020T19:50,370
29-6-2020T19:55,382
29-6-2020T20:0,390
29-6-2020T20:5,400
29-6-2020T20:10,398
29-6-2020T20:15,407
29-6-2020T20:20,416
29-6-2020T20:25,408
29-6-2020T20:30,410
29-6-2020T20:35,427
29-6-2020T20:40,422
29-6-2020T20:45,424
29-6-2020T20:50,409
29-6-2020T20:55,418
29-6-2020T21:0,413
29-6-2020T21:5,403
29-6-2020T21:10,398
29-6-2020T21:15,394
29-6-2020T21:20,390
29-6-2020T21:25,381
29-6-2020T21:30,372
29-6-2020T21:35,366
29-6-2020T21:40,372
29-6-2020T21:45,364
29-6-2020T21:50,352
29-6-2020T21:55,344
29-6-2020T22:0,346
29-6-2020T22:5,337
29-6-2020T22:10,331
29-6-2020T22:15,326
29-6-2020T22:20,319
29-6-2020T22:25,309
29-6-2020T22:30,300
29-6-2020T22:35,300
29-6-2020T22:40,293
29-6-2020T22:45,290
29-6-2020T22:50,287
29-6-2020T22:55,281
29-6-2020T23:0,265
29-6-2020T23:5,260
29-6-2020T23:10,246
29-6-2020T23:15,238
29-6-2020T23:20,234
29-6-2020T23:25,226
29-6-2020T23:30,226
29-6-2020T23:35,219
29-6-2020T23:40,210
29-6-2020T23:45,199
29-6-2020T23:50,196
29-6-2020T23:55,189
