Time,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
1-4-2020T00:00,283.55,351.26,289.69,309.88,480.17,308.83,285.48
2-4-2020T00:00,294.17,358.50,287.20,317.36,487.37,299.34,283.29
3-4-2020T00:00,310.70,380.77,331.52,350.48,530.36,330.02,313.74
4-4-2020T00:00,386.80,440.97,404.41,430.39,632.46,413.42,384.19
5-4-2020T00:00,395.94,454.18,449.38,418.87,677.29,394.96,379.23
6-4-2020T00:00,295.56,384.09,364.36,329.13,572.89,326.20,291.03
7-4-2020T00:00,295.35,375.65,337.79,324.78,569.52,314.92,290.38
8-4-2020T00:00,296.84,362.05,320.50,321.86,587.97,314.72,281.12
9-4-2020T00:00,291.76,356.41,302.74,314.33,495.64,285.25,291.50
10-4-2020T00:00,338.86,409.83,354.44,362.95,547.68,357.59,373.01
11-4-2020T00:00,373.50,440.06,383.40,412.41,571.25,390.23,432.49
12-4-2020T00:00,388.23,444.16,385.02,410.30,591.52,390.57,448.40
13-4-2020T00:00,322.01,391.05,331.03,352.01,506.96,321.88,383.59
14-4-2020T00:00,295.29,366.44,306.02,324.59,469.16,303.15,351.33
15-4-2020T00:00,267.03,330.36,285.33,294.08,406.98,275.87,329.87
16-4-2020T00:00,280.20,370.30,302.26,321.41,433.22,301.34,348.02
17-4-2020T00:00,309.79,380.46,327.48,343.09,453.83,325.95,398.38
18-4-2020T00:00,372.19,436.20,380.85,427.44,542.84,388.22,463.92
19-4-2020T00:00,377.93,429.86,386.59,415.62,528.28,390.62,472.22
20-4-2020T00:00,289.00,356.31,310.72,333.22,430.91,294.65,369.57
21-4-2020T00:00,281.39,362.51,313.98,325.59,421.68,309.84,364.97
22-4-2020T00:00,281.74,358.00,312.56,327.33,418.18,305.32,371.61
23-4-2020T00:00,274.18,348.82,302.21,327.04,397.49,298.50,363.29
24-4-2020T00:00,291.68,361.99,323.48,333.51,407.44,321.05,374.41
25-4-2020T00:00,366.40,448.68,421.74,447.24,516.26,394.93,500.16
26-4-2020T00:00,375.97,453.49,439.70,435.31,522.82,388.57,500.45
27-4-2020T00:00,298.66,358.75,329.27,351.98,397.78,313.20,398.35
28-4-2020T00:00,282.55,362.14,332.54,363.78,389.81,304.13,413.43
29-4-2020T00:00,274.60,348.75,316.91,326.24,376.97,286.02,392.38
30-4-2020T00:00,282.33,377.67,321.55,330.48,394.43,318.03,389.18
1-5-2020T00:00,308.27,374.66,366.14,355.54,418.28,326.93,442.69
