Hour,Orien
0,203.92
1,157.17
2,127.83
3,108.75
4,95.67
5,116.33
6,127.75
7,133.00
8,152.92
9,175.58
10,210.17
11,232.00
12,251.42
13,277.50
14,298.08
15,297.33
16,283.00
17,306.75
18,334.67
19,371.92
20,410.75
21,379.08
22,309.92
23,225.67
