Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,263.84,314.28,271.14,272.39,388.39,289.16,260.77
Monday,172.29,211.14,179.24,180.45,259.20,199.45,174.33
Tuesday,163.66,206.02,176.42,177.62,256.73,197.84,166.85
Wednesday,154.44,189.60,162.26,162.69,236.05,179.16,148.35
Thursday,165.87,206.76,174.99,174.06,246.51,196.01,164.58
Friday,190.21,236.91,203.40,200.80,284.05,224.25,192.01
Saturday,247.74,295.03,262.92,255.23,362.98,278.49,256.48
