Time,Ghallanda
1-4-2020T00:00,289.69
2-4-2020T00:00,287.20
3-4-2020T00:00,331.52
4-4-2020T00:00,404.41
5-4-2020T00:00,449.38
6-4-2020T00:00,364.36
7-4-2020T00:00,337.79
8-4-2020T00:00,320.50
9-4-2020T00:00,302.74
10-4-2020T00:00,354.44
11-4-2020T00:00,383.40
12-4-2020T00:00,385.02
13-4-2020T00:00,331.03
14-4-2020T00:00,306.02
15-4-2020T00:00,285.33
16-4-2020T00:00,302.26
17-4-2020T00:00,327.48
18-4-2020T00:00,380.85
19-4-2020T00:00,386.59
20-4-2020T00:00,310.72
21-4-2020T00:00,313.98
22-4-2020T00:00,312.56
23-4-2020T00:00,302.21
24-4-2020T00:00,323.48
25-4-2020T00:00,421.74
26-4-2020T00:00,439.70
27-4-2020T00:00,329.27
28-4-2020T00:00,332.54
29-4-2020T00:00,316.91
30-4-2020T00:00,321.55
1-5-2020T00:00,366.14
2-5-2020T00:00,388.03
3-5-2020T00:00,384.73
4-5-2020T00:00,306.62
5-5-2020T00:00,306.44
6-5-2020T00:00,290.75
7-5-2020T00:00,293.73
8-5-2020T00:00,323.18
9-5-2020T00:00,372.38
10-5-2020T00:00,362.78
11-5-2020T00:00,292.66
12-5-2020T00:00,294.16
13-5-2020T00:00,292.89
14-5-2020T00:00,279.35
15-5-2020T00:00,324.91
16-5-2020T00:00,364.85
17-5-2020T00:00,379.61
18-5-2020T00:00,308.95
19-5-2020T00:00,290.80
20-5-2020T00:00,276.95
21-5-2020T00:00,291.27
22-5-2020T00:00,325.23
23-5-2020T00:00,359.25
24-5-2020T00:00,358.22
25-5-2020T00:00,338.26
26-5-2020T00:00,276.19
27-5-2020T00:00,260.85
28-5-2020T00:00,278.51
29-5-2020T00:00,292.17
30-5-2020T00:00,328.31
31-5-2020T00:00,368.90
1-6-2020T00:00,278.91
2-6-2020T00:00,275.37
3-6-2020T00:00,268.13
4-6-2020T00:00,283.32
5-6-2020T00:00,308.78
6-6-2020T00:00,364.13
7-6-2020T00:00,381.24
8-6-2020T00:00,285.23
9-6-2020T00:00,269.23
10-6-2020T00:00,283.39
11-6-2020T00:00,279.99
12-6-2020T00:00,274.20
13-6-2020T00:00,350.73
14-6-2020T00:00,361.89
15-6-2020T00:00,283.43
