Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,355.91,410.42,382.86,399.69,459.48,369.93,506.46
Monday,283.81,340.11,308.77,324.62,372.80,302.35,415.49
Tuesday,263.76,325.19,291.17,302.86,351.92,282.00,392.88
Wednesday,255.99,310.12,275.17,287.22,343.56,269.16,367.29
Thursday,264.28,332.04,285.69,297.56,354.17,280.16,379.31
Friday,293.22,354.30,319.97,330.62,384.39,310.80,419.78
Saturday,349.96,405.16,370.15,404.44,456.36,371.95,502.63
