Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,323.90,367.85,335.68,361.66,343.12,336.55,560.09
Monday,259.24,309.03,275.66,297.83,266.31,264.64,463.55
Tuesday,233.17,265.68,226.93,246.31,229.01,233.85,397.76
Wednesday,235.15,267.23,232.76,244.97,231.33,235.06,418.78
Thursday,208.36,245.91,208.18,229.95,216.78,219.56,394.61
Friday,139.98,146.36,141.02,170.29,148.18,192.00,258.07
Saturday,0.00,0.00,0.00,0.00,0.00,0.00,0.00
