Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,336.25,394.81,371.56,388.44,374.38,358.46,585.81
Monday,262.93,316.71,281.74,299.26,298.21,287.75,447.86
Tuesday,230.75,283.90,261.15,271.89,270.95,256.10,414.83
Wednesday,239.77,293.10,265.88,280.12,273.92,259.27,426.11
Thursday,256.57,322.46,281.98,301.22,293.06,279.03,469.39
Friday,266.62,318.58,287.17,308.17,294.94,280.47,465.70
Saturday,329.72,389.51,357.43,394.11,373.73,355.01,587.66
