Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,332.14,385.84,359.63,379.54,363.98,351.17,577.26
Monday,262.46,309.96,280.64,299.01,287.39,280.74,453.06
Tuesday,239.10,283.92,258.52,271.68,263.01,254.72,421.66
Wednesday,239.36,282.75,253.02,268.87,260.28,247.52,425.32
Thursday,244.12,300.05,262.12,277.23,266.03,259.45,446.24
Friday,260.90,304.88,282.56,299.35,285.00,276.43,456.44
Saturday,329.28,378.65,347.19,382.29,363.75,343.74,577.83
