Day,Argonnessen,Cannith,Ghallanda,Khyber,Orien,Sarlona,Thelanis
Sunday,322.70,366.54,341.51,362.83,345.56,336.84,560.15
Monday,253.58,297.89,270.35,289.34,276.46,270.23,440.87
Tuesday,227.77,270.04,245.75,256.49,249.34,241.15,405.01
Wednesday,233.39,275.34,247.93,258.08,252.88,241.66,418.05
Thursday,234.71,287.39,254.44,263.23,252.68,250.54,436.55
Friday,256.84,298.75,274.14,291.83,277.96,268.87,453.10
Saturday,318.73,359.82,330.51,362.97,343.25,329.84,553.00
