Hour,Players,LFMs
0,231.81,9.99
1,187.36,9.02
2,157.90,7.89
3,141.29,7.59
4,128.32,7.01
5,131.94,7.14
6,150.04,7.79
7,178.52,8.32
8,222.53,10.88
9,260.52,11.97
10,288.14,12.90
11,304.59,13.79
12,316.30,14.04
13,336.81,14.20
14,353.69,15.20
15,364.85,15.61
16,364.39,15.39
17,358.63,15.45
18,359.59,15.84
19,370.64,16.12
20,381.58,15.84
21,369.14,15.49
22,332.15,14.14
23,281.57,12.01
