Day,Players,LFMs
Sunday,130.12,5.53
Monday,104.81,4.91
Tuesday,94.22,4.52
Wednesday,105.17,4.58
Thursday,103.94,4.55
Friday,113.28,4.91
Saturday,131.13,5.68
