Day,Players,LFMs
Sunday,308.81,13.16
Monday,248.10,11.57
Tuesday,240.79,11.45
Wednesday,257.13,12.06
Thursday,269.92,11.82
Friday,275.75,11.95
Saturday,311.70,13.49
