Hour,Players,LFMs
0,77.52,3.18
1,64.55,3.09
2,55.08,1.88
3,42.76,1.39
4,35.90,1.25
5,40.30,1.71
6,48.73,1.81
7,49.15,2.18
8,51.26,2.58
9,61.53,3.20
10,75.88,4.10
11,89.10,5.02
12,96.54,5.24
13,99.31,5.98
14,105.15,6.02
15,113.38,5.48
16,100.61,4.59
17,94.55,4.25
18,105.06,5.22
19,121.57,5.63
20,130.46,6.38
21,120.56,4.80
22,109.44,4.45
23,95.11,4.32
