Class,Percent
Alchemist,0.02826
Artificer,0.1088
Barbarian,0.09516
Bard,0.06398
Cleric,0.05196
Druid,0.05359
Favored Soul,0.04352
Fighter,0.06885
Monk,0.02598
Paladin,0.08639
Ranger,0.06755
Rogue,0.08347
Sorcerer,0.04125
Warlock,0.10685
Wizard,0.07437
