Day,Players,LFMs
Sunday,96.36,4.68
Monday,70.58,2.73
Tuesday,60.62,1.88
Wednesday,68.65,3.18
Thursday,91.52,5.16
Friday,88.35,4.51
Saturday,97.89,4.90
