Level,Percent
1,0.21728
2,0.0682
3,0.08347
4,0.0721
5,0.06593
6,0.04092
7,0.04125
8,0.02858
9,0.02501
10,0.03345
11,0.02436
12,0.02371
13,0.01364
14,0.01332
15,0.01202
16,0.00779
17,0.00844
18,0.01332
19,0.02858
20,0.10945
21,0.01267
22,0.00617
23,0.00487
24,0.0052
25,0.00487
26,0.00455
27,0.00162
28,0.00227
29,0.00292
30,0.02403
