Day,Players,LFMs
Sunday,414.42,15.48
Monday,309.75,13.03
Tuesday,296.97,11.95
Wednesday,279.45,11.75
Thursday,300.37,13.24
Friday,294.59,13.92
Saturday,408.40,15.21
