Class,Percent
Alchemist,0.05067
Artificer,0.05354
Barbarian,0.06883
Bard,0.04493
Cleric,0.05258
Druid,0.02772
Favored Soul,0.08222
Fighter,0.05449
Monk,0.05067
Paladin,0.09082
Ranger,0.06692
Rogue,0.08317
Sorcerer,0.07457
Warlock,0.10421
Wizard,0.09465
