Hour,Players,LFMs
0,308.27,12.92
1,239.65,10.64
2,185.82,8.71
3,151.19,7.27
4,137.09,7.05
5,135.91,6.67
6,144.18,7.14
7,162.86,7.91
8,187.12,8.69
9,200.67,8.86
10,234.35,9.98
11,282.75,11.56
12,331.16,12.86
13,360.35,13.37
14,390.94,14.56
15,423.85,15.58
16,438.03,15.95
17,431.59,16.24
18,424.78,15.68
19,438.09,16.19
20,472.08,16.39
21,478.67,15.83
22,442.47,15.24
23,378.54,14.62
