Hour,Players,LFMs
0,328.54,13.45
1,256.45,11.37
2,195.68,9.53
3,156.83,8.07
4,144.71,8.17
5,151.70,7.99
6,158.15,8.30
7,178.22,9.14
8,199.24,9.18
9,216.20,10.14
10,241.81,10.02
11,314.38,13.20
12,353.04,14.98
13,375.64,16.16
14,407.04,17.98
15,440.46,18.30
16,458.31,17.91
17,459.67,18.27
18,455.61,18.41
19,467.31,18.26
20,509.46,19.02
21,526.30,18.71
22,486.69,16.19
23,408.13,14.24
