Class,Percent
Alchemist,0.03889
Artificer,0.05609
Barbarian,0.07062
Bard,0.04258
Cleric,0.07206
Druid,0.03357
Favored Soul,0.02989
Fighter,0.07758
Monk,0.03419
Paladin,0.11218
Ranger,0.09908
Rogue,0.10174
Sorcerer,0.06612
Warlock,0.05814
Wizard,0.10727
