Class,Percent
Alchemist,0.01978
Artificer,0.06076
Barbarian,0.07568
Bard,0.05511
Cleric,0.08855
Druid,0.0325
Favored Soul,0.0336
Fighter,0.10378
Monk,0.03627
Paladin,0.09358
Ranger,0.0851
Rogue,0.10253
Sorcerer,0.05794
Warlock,0.05448
Wizard,0.10033
