Level,Percent
1,0.14432
2,0.07021
3,0.07288
4,0.06346
5,0.04504
6,0.02682
7,0.05261
8,0.0348
9,0.03357
10,0.02743
11,0.0174
12,0.02518
13,0.01986
14,0.0172
15,0.04074
16,0.02477
17,0.0176
18,0.01801
19,0.00737
20,0.02047
21,0.01638
22,0.01126
23,0.01331
24,0.01208
25,0.01167
26,0.01249
27,0.00942
28,0.00757
29,0.00983
30,0.11627
