Day,Players,LFMs
Sunday,377.22,13.77
Monday,291.55,11.88
Tuesday,274.94,11.63
Wednesday,262.79,10.15
Thursday,278.70,11.56
Friday,300.29,12.20
Saturday,363.21,13.28
