Class,Percent
Alchemist,0.02808
Artificer,0.05873
Barbarian,0.07348
Bard,0.04967
Cleric,0.08139
Druid,0.03297
Favored Soul,0.03199
Fighter,0.09241
Monk,0.03537
Paladin,0.10165
Ranger,0.09117
Rogue,0.10219
Sorcerer,0.06149
Warlock,0.05607
Wizard,0.10334
