Day,Players,LFMs
Sunday,324.64,11.57
Monday,250.81,9.81
Tuesday,234.02,9.48
Wednesday,224.14,8.69
Thursday,235.33,9.19
Friday,259.24,10.18
Saturday,315.53,11.27
