Day,Players,LFMs
Sunday,307.03,10.34
Monday,248.42,8.40
Tuesday,251.35,7.44
Wednesday,217.59,7.20
Thursday,239.36,7.68
Friday,236.86,7.73
Saturday,321.19,8.67
