Day,Players,LFMs
Sunday,319.04,9.93
Monday,253.40,8.54
Tuesday,244.93,8.48
Wednesday,223.63,7.26
Thursday,246.30,8.25
Friday,265.88,8.57
Saturday,320.57,9.89
