Hour,Players,LFMs
0,282.44,8.86
1,227.94,7.97
2,190.20,6.95
3,162.31,6.14
4,142.31,6.08
5,144.96,6.80
6,173.11,7.81
7,209.62,8.76
8,231.73,9.20
9,227.32,8.41
10,235.41,8.20
11,239.01,8.04
12,254.43,8.54
13,276.54,9.05
14,292.99,9.09
15,306.74,9.65
16,312.31,9.14
17,315.82,9.23
18,323.48,9.35
19,353.02,10.08
20,399.84,10.62
21,413.76,11.05
22,381.91,10.23
23,335.98,9.70
