Hour,Players,LFMs
0,254.66,8.99
1,208.68,7.87
2,173.54,7.12
3,153.88,6.63
4,144.53,6.51
5,148.39,6.63
6,175.66,7.67
7,207.06,8.44
8,220.24,8.40
9,235.79,8.51
10,253.02,9.11
11,257.03,9.09
12,263.75,9.22
13,276.76,9.49
14,292.43,9.80
15,305.81,10.30
16,313.80,10.05
17,319.82,10.15
18,341.67,10.31
19,379.35,11.13
20,406.10,11.46
21,402.10,11.74
22,363.45,10.88
23,308.58,9.90
