Class,Percent
Alchemist,0.07134
Artificer,0.06359
Barbarian,0.05614
Bard,0.06855
Cleric,0.06203
Druid,0.03567
Favored Soul,0.04156
Fighter,0.05893
Monk,0.04125
Paladin,0.08127
Ranger,0.0701
Rogue,0.09708
Sorcerer,0.08468
Warlock,0.08033
Wizard,0.08747
