Day,Players,LFMs
Sunday,376.18,12.85
Monday,309.60,10.81
Tuesday,289.43,10.44
Wednesday,274.92,9.90
Thursday,280.53,10.06
Friday,320.80,11.19
Saturday,381.42,12.92
