Class,Percent
Alchemist,0.06511
Artificer,0.03114
Barbarian,0.046
Bard,0.07643
Cleric,0.06228
Druid,0.02406
Favored Soul,0.05379
Fighter,0.05308
Monk,0.05874
Paladin,0.09483
Ranger,0.06086
Rogue,0.10333
Sorcerer,0.08563
Warlock,0.09766
Wizard,0.08705
