Day,Players,LFMs
Sunday,321.56,10.54
Monday,254.01,8.96
Tuesday,240.39,8.69
Wednesday,227.63,7.94
Thursday,241.51,8.54
Friday,263.75,8.92
Saturday,317.93,10.36
