Class,Percent
Alchemist,0.02638
Artificer,0.05855
Barbarian,0.07806
Bard,0.06841
Cleric,0.06798
Druid,0.03474
Favored Soul,0.03581
Fighter,0.08428
Monk,0.04225
Paladin,0.08621
Ranger,0.08471
Rogue,0.10101
Sorcerer,0.06241
Warlock,0.08063
Wizard,0.08857
