Day,Players,LFMs
Sunday,327.59,11.95
Monday,244.67,10.72
Tuesday,237.10,10.01
Wednesday,228.99,9.45
Thursday,231.24,9.55
Friday,265.55,10.49
Saturday,325.15,11.77
