Class,Percent
Alchemist,0.04476
Artificer,0.06061
Barbarian,0.0691
Bard,0.06847
Cleric,0.06555
Druid,0.03512
Favored Soul,0.03816
Fighter,0.07392
Monk,0.04184
Paladin,0.08419
Ranger,0.07874
Rogue,0.0994
Sorcerer,0.07151
Warlock,0.08051
Wizard,0.08812
